dataset name,AUC of VCNN,AUC of Deepbind
wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk,0.679090673,0.629276
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk,0.828069999,0.778372
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk,0.953317432,0.906706
wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk,0.711447177,0.664941
wgEncodeAwgTfbsSydhGm12878Usf2IggmusUniPk,0.937169487,0.892598
wgEncodeAwgTfbsBroadHuvecPol2bUniPk,0.786407141,0.742866
wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk,0.71298751,0.669863
wgEncodeAwgTfbsSydhK562Pol2s2IggrabUniPk,0.741616217,0.698747
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk,0.767567916,0.724854
wgEncodeAwgTfbsSydhNb4Pol2UniPk,0.814829098,0.772766
wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk,0.806348856,0.764337
wgEncodeAwgTfbsSydhK562Ubfsc13125IggmusUniPk,0.853619598,0.811848
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk,0.88066008,0.839781
wgEncodeAwgTfbsSydhGm12878Chd1a301218aIggmusUniPk,0.732475764,0.692394
wgEncodeAwgTfbsUwGm12873CtcfUniPk,0.972148673,0.932232
wgEncodeAwgTfbsBroadK562Sap3039731UniPk,0.798630336,0.759306
wgEncodeAwgTfbsSydhK562Ini1IggmusUniPk,0.734119941,0.695287
wgEncodeAwgTfbsSydhK562Gtf2f1ab28179IggrabUniPk,0.800469227,0.762296
wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk,0.760456801,0.723316
wgEncodeAwgTfbsSydhK562Pol2s2UniPk,0.67310911,0.637254
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk,0.706314271,0.672273
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk,0.974487729,0.941106
wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk,0.845703983,0.812616
wgEncodeAwgTfbsBroadHuvecEzh239875UniPk,0.803084662,0.770324
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk,0.782626734,0.750024
wgEncodeAwgTfbsBroadNhaEzh239875UniPk,0.794609665,0.762775
wgEncodeAwgTfbsBroadHmecEzh239875UniPk,0.755152572,0.723473
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk,0.79348636,0.76294
wgEncodeAwgTfbsSydhU2osSetdb1UcdUniPk,0.847106947,0.816853
wgEncodeAwgTfbsSydhNt2d1Suz12UcdUniPk,0.785526188,0.755418
wgEncodeAwgTfbsHaibHepg2Sin3ak20Pcr1xUniPk,0.83319861,0.803212
wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk,0.803723359,0.774133
wgEncodeAwgTfbsBroadNhekPol2bUniPk,0.742463522,0.713029
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk,0.796373704,0.767098
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk,0.711878722,0.683291
wgEncodeAwgTfbsUtaHelas3CmycUniPk,0.873285134,0.844759
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk,0.784314368,0.756054
wgEncodeAwgTfbsSydhGm12878Stat1UniPk,0.727960632,0.700224
wgEncodeAwgTfbsHaibPfsk1Taf1V0416101UniPk,0.84326085,0.815923
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk,0.823053292,0.79668
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk,0.766725383,0.740534
wgEncodeAwgTfbsHaibH1hescTaf7sc101167V0416102UniPk,0.809662074,0.783924
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk,0.967194659,0.941566
wgEncodeAwgTfbsSydhHepg2Bhlhe40cIggrabUniPk,0.889202219,0.864514
wgEncodeAwgTfbsSydhU2osKap1UcdUniPk,0.772752321,0.748302
wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk,0.906391094,0.882761
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk,0.762691854,0.739278
wgEncodeAwgTfbsBroadK562Plu1UniPk,0.806638943,0.783279
wgEncodeAwgTfbsSydhGm12878Corestsc30189IggmusUniPk,0.784717334,0.761464
wgEncodeAwgTfbsSydhGm18505Pol2IggmusUniPk,0.808776371,0.786653
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk,0.801829,0.779836
wgEncodeAwgTfbsSydhHelas3E2f4UniPk,0.875926518,0.854213
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk,0.748574336,0.727043
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,0.871156056,0.849852
wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk,0.887819235,0.866553
wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk,0.816651473,0.79568
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk,0.753609345,0.732687
wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk,0.869980265,0.849305
wgEncodeAwgTfbsSydhGm12878Sin3anb6001263IggmusUniPk,0.799290578,0.778663
wgEncodeAwgTfbsSydhGm12891Pol2IggmusUniPk,0.780357147,0.75996
wgEncodeAwgTfbsUtaMcf7Pol2SerumstvdUniPk,0.834845566,0.814507
wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk,0.795804128,0.77571
wgEncodeAwgTfbsHaibHepg2Taf1Pcr2xUniPk,0.831748989,0.811946
wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk,0.845278828,0.825742
wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk,0.757734022,0.738207
wgEncodeAwgTfbsHaibPfsk1NrsfPcr2xUniPk,0.914702909,0.895366
wgEncodeAwgTfbsUtaHepg2Pol2UniPk,0.801764284,0.782475
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk,0.778960574,0.759673
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk,0.836667457,0.817422
wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk,0.807532805,0.788289
wgEncodeAwgTfbsSydhA549Bhlhe40IggrabUniPk,0.929047525,0.910297
wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk,0.799293819,0.780642
wgEncodeAwgTfbsSydhHepg2TbpIggrabUniPk,0.815653275,0.797155
wgEncodeAwgTfbsUtaH1hescCmycUniPk,0.662250867,0.643919
wgEncodeAwgTfbsSydhHct116Pol2UcdUniPk,0.813425964,0.795403
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk,0.82937394,0.811461
wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk,0.839694028,0.822128
wgEncodeAwgTfbsSydhGm12878Pol2UniPk,0.793275034,0.775765
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk,0.808469414,0.790973
wgEncodeAwgTfbsSydhK562Irf1Ifng30UniPk,0.824849165,0.807476
wgEncodeAwgTfbsSydhMcf10aesPol2TamUniPk,0.814721431,0.79742
wgEncodeAwgTfbsSydhGm12878Ikzf1iknuclaUniPk,0.827431663,0.810229
wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk,0.793952127,0.776767
wgEncodeAwgTfbsUtaA549Pol2UniPk,0.830139986,0.813329
wgEncodeAwgTfbsSydhH1hescTbpIggrabUniPk,0.825582454,0.808941
wgEncodeAwgTfbsSydhHelas3CmycUniPk,0.872022199,0.855401
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk,0.904551429,0.887939
wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk,0.843891888,0.827288
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk,0.791611637,0.775093
wgEncodeAwgTfbsUtaHuvecPol2UniPk,0.841570547,0.825354
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk,0.873684083,0.857507
wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk,0.878134425,0.862177
wgEncodeAwgTfbsSydhHek293Pol2UniPk,0.824585992,0.808674
wgEncodeAwgTfbsSydhGm18951Pol2IggmusUniPk,0.816499602,0.800624
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk,0.827302842,0.811502
wgEncodeAwgTfbsHaibHepg2Mbd4sc271530V0422111UniPk,0.791284397,0.775725
wgEncodeAwgTfbsHaibA549Pol2Pcr2xDex100nmUniPk,0.818216797,0.802706
wgEncodeAwgTfbsSydhK562Pol2Ifng6hUniPk,0.806725365,0.791268
wgEncodeAwgTfbsHaibGm12892Pol24h8V0416102UniPk,0.778230293,0.762819
wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,0.834790706,0.81961
wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk,0.876772456,0.86161
wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk,0.776653451,0.761721
wgEncodeAwgTfbsSydhHelas3Baf155IggmusUniPk,0.78345653,0.768542
wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk,0.933490239,0.91858
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk,0.857016086,0.842159
wgEncodeAwgTfbsHaibH1hescPol24h8V0416102UniPk,0.79298641,0.778168
wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk,0.820315281,0.805619
wgEncodeAwgTfbsSydhGm10847Pol2IggmusUniPk,0.82738012,0.812875
wgEncodeAwgTfbsHaibK562Taf7sc101167V0416101UniPk,0.769334897,0.754894
wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk,0.845042346,0.830779
wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk,0.881562183,0.8675
wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk,0.855349537,0.84132
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk,0.796151157,0.782148
wgEncodeAwgTfbsSydhGm12878Pol2IggmusUniPk,0.777001531,0.763285
wgEncodeAwgTfbsBroadNhekEzh239875UniPk,0.778454763,0.764803
wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk,0.76670212,0.753096
wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk,0.797637991,0.784034
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk,0.824311222,0.810831
wgEncodeAwgTfbsSydhHek293Kap1UcdUniPk,0.762956832,0.749499
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,0.842745717,0.829423
wgEncodeAwgTfbsUtaMcf7Pol2SerumstimUniPk,0.828652806,0.815631
wgEncodeAwgTfbsSydhGm12878TbpIggmusUniPk,0.800581793,0.787765
wgEncodeAwgTfbsUtaK562Pol2UniPk,0.817361514,0.804604
wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk,0.838546314,0.826025
wgEncodeAwgTfbsUtaGm12878CmycUniPk,0.785054679,0.77261
wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk,0.815456089,0.803205
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk,0.977392816,0.96515
wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk,0.916187214,0.904083
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk,0.795362697,0.783349
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk,0.80359435,0.791583
wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk,0.831872332,0.819921
wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk,0.903632941,0.891879
wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk,0.828688496,0.81719
wgEncodeAwgTfbsUtaHepg2CmycUniPk,0.85889068,0.847535
wgEncodeAwgTfbsSydhImr90Pol2IggrabUniPk,0.802437517,0.791605
wgEncodeAwgTfbsHaibHepg2Pol2Pcr2xUniPk,0.797580021,0.786874
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk,0.799077777,0.788488
wgEncodeAwgTfbsHaibGm12891Pol2Pcr1xUniPk,0.777017397,0.766551
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk,0.916091862,0.905782
